Season,Position,Crest names,Team,City,Points,Matches,Won,Draw,Lost,Scored,Conceded,GoalDifference
1987-88,1,Real Madrid,Real Madrid,Madrid,62,38,28,6,4,95,26,69
1987-88,2,Real Sociedad,Real Sociedad,San Sebastian,51,38,22,7,9,61,33,28
1987-88,3,Atlético de Madrid,Atlético Madrid,Madrid,48,38,19,10,9,60,38,22
1987-88,4,Athletic Club,Athletic Bilbao,Bilbao,46,38,17,12,9,50,43,7
1987-88,5,CA Osasuna,Osasuna,Pamplona,40,38,15,10,13,40,34,6
1987-88,6,FC Barcelona,Barcelona,Barcelona,39,38,15,9,14,49,44,5
1987-88,7,RC Celta,Celta Vigo,Vigo,39,38,14,11,13,43,40,3
1987-88,8,R. Valladolid CF,Valladolid,Valladolid,38,38,13,12,13,31,34,-3
1987-88,9,R. Sporting,Sporting Gijón,Gijón,38,38,14,10,14,44,49,-5
1987-88,10,Sevilla FC,Sevilla,Sevilla,37,38,13,11,14,41,46,-5
1987-88,11,R. Zaragoza,Zaragoza,Zaragoza,36,38,11,14,13,54,56,-2
1987-88,12,Cádiz CF,Cádiz,Cádiz,35,38,11,13,14,47,54,-7
1987-88,13,CD Logroñés,Logroñés,Logroño,33,38,12,9,17,28,45,-17
1987-88,14,Valencia CF,Valencia,Valencia,33,38,10,13,15,44,53,-9
1987-88,15,RCD Espanyol,Espanyol,Barcelona,33,38,11,11,16,44,55,-11
1987-88,16,Real Betis,Real Betis,Seville,33,38,14,5,19,42,54,-12
1987-88,17,Real Murcia,Murcia,Murcia,31,38,9,13,16,31,42,-11
1987-88,18,RCD Mallorca,Mallorca,Palma,30,38,9,12,17,35,50,-15
1987-88,19,CE Sabadell,Sabadell,Sabadell,29,38,9,11,18,27,48,-21
1987-88,20,UD Las Palmas,Las Palmas,Las Palmas de Gran Canaria,29,38,12,5,21,43,65,-22
1988-89,1,Real Madrid,Real Madrid,Madrid,62,38,25,12,1,91,37,54
1988-89,2,FC Barcelona,Barcelona,Barcelona,57,38,23,11,4,80,26,54
1988-89,3,Valencia CF,Valencia,Valencia,49,38,18,13,7,39,26,13
1988-89,4,Atlético de Madrid,Atlético Madrid,Madrid,46,38,19,8,11,69,45,24
1988-89,5,R. Zaragoza,Zaragoza,Zaragoza,43,38,15,13,10,48,42,6
1988-89,6,R. Valladolid CF,Valladolid,Valladolid,43,38,18,7,13,40,31,9
1988-89,7,Athletic Club,Athletic Bilbao,Bilbao,42,38,15,12,11,45,35,10
1988-89,8,RC Celta,Celta Vigo,Vigo,39,38,14,11,13,42,48,-6
1988-89,9,Sevilla FC,Sevilla,Sevilla,38,38,13,12,13,38,39,-1
1988-89,10,CA Osasuna,Osasuna,Pamplona,37,38,13,11,14,39,43,-4
1988-89,11,Real Sociedad,Real Sociedad,San Sebastian,36,38,11,14,13,38,47,-9
1988-89,12,R. Oviedo,Oviedo,Oviedo,35,38,12,11,15,41,48,-7
1988-89,13,R. Sporting,Sporting Gijón,Gijón,35,38,13,9,16,42,42,0
1988-89,14,CD Logroñés,Logroñés,Logroño,34,38,9,16,13,25,37,-12
1988-89,15,Cádiz CF,Cádiz,Cádiz,33,38,9,15,14,31,41,-10
1988-89,16,CD Málaga,Málaga,Málaga,33,38,12,9,17,39,53,-14
1988-89,17,RCD Espanyol,Espanyol,Barcelona,30,38,7,16,15,29,44,-15
1988-89,18,Real Betis,Real Betis,Seville,29,38,9,11,18,36,55,-19
1988-89,19,Real Murcia,Murcia,Murcia,24,38,9,6,23,27,58,-31
1988-89,20,Elche CF,Elche,Alicante,15,38,4,7,27,29,71,-42
1989-90,1,Real Madrid,Real Madrid,Madrid,62,38,26,10,2,107,38,69
1989-90,2,Valencia CF,Valencia,Valencia,53,38,20,13,5,67,42,25
1989-90,3,FC Barcelona,Barcelona,Barcelona,51,38,23,5,10,83,39,44
1989-90,4,Atlético de Madrid,Atlético Madrid,Madrid,50,38,20,10,8,55,35,20
1989-90,5,Real Sociedad,Real Sociedad,San Sebastian,44,38,15,14,9,43,35,8
1989-90,6,Sevilla FC,Sevilla,Sevilla,43,38,18,7,13,64,46,18
1989-90,7,CD Logroñés,Logroñés,Logroño,41,38,18,5,15,47,51,-4
1989-90,8,CA Osasuna,Osasuna,Pamplona,40,38,14,12,12,42,42,0
1989-90,9,R. Zaragoza,Zaragoza,Zaragoza,40,38,16,8,14,52,52,0
1989-90,10,RCD Mallorca,Mallorca,Palma,39,38,11,17,10,36,34,2
1989-90,11,R. Oviedo,Oviedo,Oviedo,39,38,12,15,11,41,46,-5
1989-90,12,Athletic Club,Athletic Bilbao,Bilbao,37,38,11,15,12,37,39,-2
1989-90,13,R. Sporting,Sporting Gijón,Gijón,34,38,12,10,16,37,34,3
1989-90,14,CD Castellón,Castellón,Castellón de La Plana,32,38,9,14,15,30,48,-18
1989-90,15,Cádiz CF,Cádiz,Cádiz,30,38,12,6,20,28,63,-35
1989-90,16,R. Valladolid CF,Valladolid,Valladolid,30,38,8,14,16,31,41,-10
1989-90,17,CD Málaga,Málaga,Málaga,28,38,9,10,19,23,50,-27
1989-90,18,CD Tenerife,Tenerife,Tenerife,26,38,8,10,20,42,60,-18
1989-90,19,RC Celta,Celta Vigo,Vigo,22,38,5,12,21,24,51,-27
1989-90,20,Rayo Vallecano,Rayo Vallecano,Madrid,19,38,6,7,25,32,75,-43
1990-91,1,FC Barcelona,Barcelona,Barcelona,57,38,25,7,6,74,33,41
1990-91,2,Atlético de Madrid,Atlético Madrid,Madrid,47,38,17,13,8,52,28,24
1990-91,3,Real Madrid,Real Madrid,Madrid,46,38,20,6,12,63,37,26
1990-91,4,CA Osasuna,Osasuna,Pamplona,45,38,15,15,8,43,34,9
1990-91,5,R. Sporting,Sporting Gijón,Gijón,44,38,16,12,10,50,37,13
1990-91,6,R. Oviedo,Oviedo,Oviedo,42,38,13,16,9,36,35,1
1990-91,7,Valencia CF,Valencia,Valencia,40,38,15,10,13,44,40,4
1990-91,8,Sevilla FC,Sevilla,Sevilla,38,38,15,8,15,45,47,-2
1990-91,9,R. Valladolid CF,Valladolid,Valladolid,37,38,12,13,13,38,40,-2
1990-91,10,CD Logroñés,Logroñés,Logroño,37,38,13,11,14,28,35,-7
1990-91,11,Real Burgos CF,Real Burgos,Burgos,37,38,10,17,11,32,27,5
1990-91,12,Athletic Club,Athletic Bilbao,Bilbao,36,38,15,6,17,41,50,-9
1990-91,13,Real Sociedad,Real Sociedad,San Sebastian,36,38,11,14,13,39,45,-6
1990-91,14,CD Tenerife,Tenerife,Tenerife,35,38,14,7,17,37,53,-16
1990-91,15,RCD Mallorca,Mallorca,Palma,34,38,9,16,13,32,40,-8
1990-91,16,RCD Espanyol,Espanyol,Barcelona,34,38,12,10,16,39,47,-8
1990-91,17,R. Zaragoza,Zaragoza,Zaragoza,33,38,11,11,16,36,40,-4
1990-91,18,Cádiz CF,Cádiz,Cádiz,29,38,7,15,16,29,41,-12
1990-91,19,CD Castellón,Castellón,Castellón de La Plana,28,38,8,12,18,27,48,-21
1990-91,20,Real Betis,Real Betis,Seville,25,38,6,13,19,37,65,-28
1991-92,1,FC Barcelona,Barcelona,Barcelona,55,38,23,9,6,87,37,50
1991-92,2,Real Madrid,Real Madrid,Madrid,54,38,23,8,7,78,32,46
1991-92,3,Atlético de Madrid,Atlético Madrid,Madrid,53,38,24,5,9,67,35,32
1991-92,4,Valencia CF,Valencia,Valencia,47,38,20,7,11,63,42,21
1991-92,5,Real Sociedad,Real Sociedad,San Sebastian,44,38,16,12,10,44,38,6
1991-92,6,R. Zaragoza,Zaragoza,Zaragoza,41,38,17,7,14,40,41,-1
1991-92,7,Albacete BP,Albacete,Albacete,40,38,16,8,14,45,47,-2
1991-92,8,R. Sporting,Sporting Gijón,Gijón,38,38,15,8,15,37,43,-6
